code_insee,population,P15_POP,croissance_pop,dep,nb_banques_classiques,nb_services_financiers,nb_equipements_eco,nb_equipements_services,revenu_median,commune,densite_equip_eco,densite_equip_ser,densite_banques,densite_services_fin,pop_norm,eco_norm,ser_norm,bank_norm,revenu_norm,croissance_norm,score_potentiel,score_saturation,score_final,rang_score,potentiel,CLUSTER,cluster_label
43216,2420,2402,0.7493755204,43,0,0,0,0,22280,Saint-Paulien,0,0,0,0,0.0138856719,0,0,0,0.4163614164,0.3064939762,0.1473482129,0,0.1473482129,0,Potentiel faible,3,Cluster 3
43218,1213,1103,9.9728014506,43,0,0,0,0,24430,Saint-Pierre-Eynac,0,0,0,0,0.0068965118,0,0,0,0.5476190476,0.434635966,0.1978303051,0,0.1978303051,0,Potentiel faible,4,Cluster 4
43223,1109,1071,3.548085901,43,0,0,0,0,22660,Saint-Romain-Lachalm,0,0,0,0,0.0062942975,0,0,0,0.4395604396,0.3453767427,0.158246296,0,0.158246296,0,Potentiel faible,3,Cluster 3
43224,6023,5959,1.0740057057,43,0,0,0,0,22440,Sainte-Sigolène,0,0,0,0,0.034748923,0,0,0,0.4261294261,0.3110040962,0.1543764891,0,0.1543764891,0,Potentiel faible,3,Cluster 3
43230,1053,988,6.5789473684,43,0,0,0,0,22570,Saint-Vincent,0,0,0,0,0.0059700283,0,0,0,0.4340659341,0.3874848078,0.165504154,0,0.165504154,0,Potentiel faible,3,Cluster 3
43233,1076,1155,-6.83982684,43,0,0,0,0,24160,Sanssac-l'Église,0,0,0,0,0.0061032103,0,0,0,0.5311355311,0.2010564197,0.1476590322,0,0.1476590322,0,Potentiel faible,4,Cluster 4
43234,1681,1815,-7.38292011,43,0,0,0,0,20380,Saugues,0,0,0,0,0.0096064761,0,0,0,0.3003663004,0.19351117,0.1006967893,0,0.1006967893,0,Potentiel faible,3,Cluster 3
43236,1481,1466,1.0231923602,43,0,0,0,0,23110,La Séauve-sur-Semène,0,0,0,0,0.0084483717,0,0,0,0.467032967,0.3102981412,0.157155896,0,0.157155896,0,Potentiel faible,3,Cluster 3
43241,1283,1260,1.8253968254,43,0,0,0,0,22300,Solignac-sur-Loire,0,0,0,0,0.0073018483,0,0,0,0.4175824176,0.321443249,0.149265503,0,0.149265503,0,Potentiel faible,3,Cluster 3
43244,3123,3106,0.5473277527,43,0,0,0,0,21260,Tence,0,0,0,0,0.0179564089,0,0,0,0.3540903541,0.3036869061,0.1351467338,0,0.1351467338,0,Potentiel faible,3,Cluster 3
43251,3402,3328,2.2235576923,43,0,0,0,0,22760,Vals-près-le-Puy,0,0,0,0,0.0195719646,0,0,0,0.4456654457,0.3269749383,0.1584424697,0,0.1584424697,0,Potentiel faible,3,Cluster 3
43258,1799,1847,-2.598808879,43,0,0,0,0,21500,Vergongheon,0,0,0,0,0.0102897577,0,0,0,0.3687423687,0.2599773115,0.1278018876,0,0.1278018876,0,Potentiel faible,3,Cluster 3
43262,1219,1214,0.4118616145,43,0,0,0,0,23260,Vieille-Brioude,0,0,0,0,0.0069312549,0,0,0,0.4761904762,0.3018048613,0.1569853185,0,0.1569853185,0,Potentiel faible,3,Cluster 3
43265,1449,1378,5.152394775,43,0,0,0,0,23900,Les Villettes,0,0,0,0,0.008263075,0,0,0,0.5152625153,0.3676655683,0.1782382317,0,0.1782382317,0,Potentiel faible,4,Cluster 4
43267,1444,1419,1.7618040874,43,0,0,0,0,20280,Vorey,0,0,0,0,0.0082341224,0,0,0,0.2942612943,0.3205597487,0.1246110331,0,0.1246110331,0,Potentiel faible,3,Cluster 3
43268,7345,7122,3.1311429374,43,0,0,0,0,23020,Yssingeaux,0,0,0,0,0.0424039931,0,0,0,0.4615384615,0.3395841119,0.1687053133,0,0.1687053133,0,Potentiel faible,3,Cluster 3
